imdbId,title,image,year,plot,directors,writers,top_cast
0073486,Einer flog über das Kuckucksnest,https://m.media-amazon.com/images/M/MV5BMDMwNjhjZmItNzVjYy00NzFlLWEyMmEtMTdkM2ZiODkwNGE4XkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_FMjpg_UX1000_.jpg,1975,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",['Milos Forman'],"['Lawrence Hauben', 'Bo Goldman', 'Ken Kesey']","['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco', 'Dean R. Brooks', 'Alonzo Brown', 'Scatman Crothers', 'Mwako Cumbuka', 'Danny DeVito', 'William Duell', 'Josip Elic', 'Lan Fendors', 'Nathan George', 'Ken Kenny', 'Mel Lambert', 'Sydney Lassick', 'Kay Lee', 'Christopher Lloyd']"
0116683,James und der Riesenpfirsich,https://m.media-amazon.com/images/M/MV5BMTNkNWIwNGUtNTJlOC00NDU3LTk0NWEtNjNjNDM4NzRiNThkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg,1996,"An orphan who lives with his two cruel aunts befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City.",['Henry Selick'],"['Roald Dahl', 'Karey Kirkpatrick', 'Jonathan Roberts']","['Paul Terry', 'Joanna Lumley', 'Pete Postlethwaite', 'Simon Callow', 'Richard Dreyfuss', 'Jane Leeves', 'Miriam Margolyes', 'Susan Sarandon', 'David Thewlis', 'J. Stephen Coyle', 'Steven Culp', 'Cirocco Dunlap', 'Michael Girardin', 'Tony Haney', 'Kathryn Howell', 'Chae Kirby', 'Jeff Mosley', 'Al Nalbandian']"
0058385,My Fair Lady,https://m.media-amazon.com/images/M/MV5BNGM0ZTU3NmItZmRmMy00YWNjLWEzMWItYzg3MzcwZmM5NjdiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_FMjpg_UX1000_.jpg,1964,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society.",['George Cukor'],"['Alan Jay Lerner', 'George Bernard Shaw']","['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway', 'Wilfrid Hyde-White', 'Gladys Cooper', 'Jeremy Brett', 'Theodore Bikel', 'Mona Washbourne', 'Isobel Elsom', 'John Holland', 'Elizabeth Aimers', 'Helen Albrecht', 'John Alderson', 'Mary Alexander', 'Gertrude Astor', 'LaWana Backer', 'Walter Bacon', 'Al Bain']"
0195685,Erin Brockovich,https://m.media-amazon.com/images/M/MV5BYTA1NWRkNTktNDMxNS00NjE4LWEzMDAtNzA3YzlhYzRhNDA4L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg,2000,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,['Steven Soderbergh'],['Susannah Grant'],"['Julia Roberts', 'Albert Finney', 'David Brisbin', 'Dawn Didawick', 'Valente Rodriguez', 'Conchata Ferrell', 'George Rocky Sullivan', 'Pat Skipper', 'Jack Gill', 'Irene Olga López', 'Emily Marks', 'Julie Marks', 'Scotty Leavenworth', 'Gemmenne de la Peña', 'Erin Brockovich-Ellis', 'Adilah Barnes', 'Irina V. Passmoore', 'Aaron Eckhart']"
0120623,Das große Krabbeln,https://m.media-amazon.com/images/M/MV5BNThmZGY4NzgtMTM4OC00NzNkLWEwNmEtMjdhMGY5YTc1NDE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg,1998,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.","['John Lasseter', 'Andrew Stanton']","['John Lasseter', 'Andrew Stanton', 'Joe Ranft']","['Kevin Spacey', 'David Foley', 'Julia Louis-Dreyfus', 'Hayden Panettiere', 'Phyllis Diller', 'Richard Kind', 'David Hyde Pierce', 'Joe Ranft', 'Denis Leary', 'Jonathan Harris', 'Madeline Kahn', 'Bonnie Hunt', 'Michael McShane', 'John Ratzenberger', 'Brad Garrett', 'Roddy McDowall', 'Edie McClurg', 'Alex Rocco']"
0093779,Die Braut des Prinzen,https://m.media-amazon.com/images/M/MV5BN2NkMmQ1YWYtYzRkYy00ZTBmLWE3NzQtY2VmOTkzMzc5Njc2XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,1987,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",['Rob Reiner'],['William Goldman'],"['Cary Elwes', 'Mandy Patinkin', 'Robin Wright', 'Chris Sarandon', 'Christopher Guest', 'Wallace Shawn', 'André René Roussimoff', 'Fred Savage', 'Peter Falk', 'Peter Cook', 'Mel Smith', 'Carol Kane', 'Billy Crystal', 'Anne Dyson', 'Margery Mason', 'Malcolm Storry', 'Willoughby Gray', 'Betsy Brantley']"
0052618,Ben Hur,https://m.media-amazon.com/images/M/MV5BNjgxY2JiZDYtZmMwOC00ZmJjLWJmODUtMTNmNWNmYWI5ODkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg,1959,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",['William Wyler'],"['Lew Wallace', 'Karl Tunberg', 'Gore Vidal']","['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet', 'Hugh Griffith', 'Martha Scott', ""Cathy O'Donnell"", 'Sam Jaffe', 'Finlay Currie', 'Frank Thring', 'Terence Longdon', 'George Relph', 'André Morell', 'Umberto Alivernini', 'Armando Annuale', 'Artemio Antonini', 'Nello Appodia', 'Fortunato Arena']"
0085334,Fröhliche Weihnachten,https://m.media-amazon.com/images/M/MV5BZWU1NjdkMDYtNGEzNy00NWYwLWIwZWEtNWE2MmE1ODIwYmJiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_FMjpg_UX1000_.jpg,1983,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.",['Bob Clark'],"['Jean Shepherd', 'Leigh Brown', 'Bob Clark']","['Peter Billingsley', 'Melinda Dillon', 'Darren McGavin', 'Scott Schwartz', 'Jean Shepherd', 'Ian Petrella', 'Tedde Moore', 'RD Robb', 'Zack Ward', 'Yano Anaya', 'Jeff Gillen', 'Colin Fox', 'Paul Hubbard', 'Leslie Carlson', 'Jim Hunter', 'Patty Johnson', 'Drew Hocevar', 'David Svoboda']"
0029583,Schneewittchen und die sieben Zwerge,https://m.media-amazon.com/images/M/MV5BNDY0M2YwNzAtNTJiYS00ZWE0LWIzYzQtODJjMjMzZGEzMGU3XkEyXkFqcGdeQXVyMTQ4MTMxMzY5._V1_FMjpg_UX1000_.jpg,1937,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.","['William Cottrell', 'David Hand', 'Wilfred Jackson']","['Jacob Grimm', 'Wilhelm Grimm', 'Ted Sears']","['Adriana Caselotti', 'Harry Stockwell', 'Lucille La Verne', 'Roy Atwell', 'Stuart Buchanan', 'Eddie Collins', 'Pinto Colvig', 'Marion Darlington', 'Billy Gilbert', 'Otis Harlan', 'George Kiplunks', 'James MacDonald', 'George Magrill', 'Scotty Mattraw', 'Clarence Nash Jr.', 'Jack Nill', 'Moroni Olsen', 'Purv Pullen']"
0032138,Das zauberhafte Land,https://m.media-amazon.com/images/M/MV5BNmI4OWVjMjEtNWI1ZS00MzE4LTg4OTMtZmIzYzBjZWRkZDM5XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,1939,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can retu... Read all","['Victor Fleming', 'King Vidor']","['Noel Langley', 'Florence Ryerson', 'Edgar Allan Woolf']","['Judy Garland', 'Frank Morgan', 'Ray Bolger', 'Bert Lahr', 'Jack Haley', 'Billie Burke', 'Margaret Hamilton', 'Charley Grapewin', 'Pat Walshe', 'Clara Blandick', 'Terry', 'The Singer Midgets', 'Gladys W. Allison', 'John Ballas', 'Franz Balluck', 'Josefine Balluck', 'John T. Bambury', 'Dorothy Barrett']"
